code,name,market,foreign_net,sitc_net
3481,群創,TSE,56496170,-243953
2303,聯電,TSE,43123860,-10084822
2812,台中銀,TSE,24494000,25000
2834,臺企銀,TSE,21094712,15000
2618,長榮航,TSE,19049159,1347045
5880,合庫金,TSE,16541083,417000
2002,中鋼,TSE,17467170,0
1101,台泥,TSE,17345494,0
2890,永豐金,TSE,15105571,1137487
2610,華航,TSE,11819504,4459000
1303,南亞,TSE,18913064,-3403000
1718,中纖,TSE,15561259,46000
2867,三商壽,TSE,13435000,0
2412,中華電,TSE,13605984,93876
2884,玉山金,TSE,9588093,732447
2887,台新新光金,TSE,8656453,559714
2885,元大金,TSE,1646485,6506404
2880,華南金,TSE,685893,3955000
1402,遠東新,TSE,5660644,2184080
2883,凱基金,TSE,5285994,269692
3045,台灣大,TSE,6845837,122807
4904,遠傳,TSE,6451559,100333
3231,緯創,TSE,3633556,3219878
2332,友訊,TSE,7280109,0
5876,上海商銀,TSE,4461396,1777000
2801,彰銀,TSE,4912925,625000
2892,第一金,TSE,3094395,1226504
2882,國泰金,TSE,3891956,510405
1714,和桐,TSE,4964111,41000
2897,王道銀行,TSE,4571000,0
2881,富邦金,TSE,3446594,398514
8150,南茂,TSE,4980039,-38000
2845,遠東銀,TSE,2493509,509000
2027,大成鋼,TSE,4694620,-2905000
5388,中磊,TSE,2521775,0
5871,中租-KY,TSE,1781679,524000
2313,華通,TSE,5980385,-4391000
1711,永光,TSE,2227181,0
6116,彩晶,TSE,2196977,0
4919,新唐,TSE,2018841,0
1102,亞泥,TSE,1594268,36016
2886,兆豐金,TSE,-2489138,1865125
2317,鴻海,TSE,522460,737709
4938,和碩,TSE,1736172,33000
2646,星宇航空,TSE,1749949,0
1216,統一,TSE,-730966,1575000
9945,潤泰新,TSE,1603776,9000
2903,遠百,TSE,1642000,0
2353,宏碁,TSE,1323447,43274
2006,東和鋼鐵,TSE,1319608,294000
1802,台玻,TSE,1329216,0
6414,樺漢,TSE,1481235,-19000
2371,大同,TSE,1183711,0
6005,群益證,TSE,1149186,29000
3715,定穎投控,TSE,1223936,0
2633,台灣高鐵,TSE,958316,87000
6214,精誠,TSE,1021008,0
8028,昇陽半導體,TSE,990044,1000
2645,長榮航太,TSE,1012514,0
1515,力山,TSE,927078,6000
2603,長榮,TSE,891153,78000
2836,高雄銀,TSE,847800,0
2206,三陽工業,TSE,848068,0
3034,聯詠,TSE,884562,20375
2327,國巨*,TSE,4671383,-3988294
2547,日勝生,TSE,815000,0
2504,國產,TSE,783000,1000
2379,瑞昱,TSE,734360,22363
2493,揚博,TSE,740349,5000
1722,台肥,TSE,700324,0
3036,文曄,TSE,994306,-51774
6919,康霈*,TSE,647530,0
6505,台塑化,TSE,2222889,-1042000
2489,瑞軒,TSE,2578160,-2000000
3016,嘉晶,TSE,682019,0
2820,華票,TSE,630000,0
6415,矽力*-KY,TSE,773467,-3000
1319,東陽,TSE,584000,0
1447,力鵬,TSE,590705,27000
2539,櫻花建,TSE,562928,0
9802,鈺齊-KY,TSE,545000,0
8046,南電,TSE,781808,-39000
2408,南亞科,TSE,75034,204507
2395,研華,TSE,606050,15000
8033,雷虎,TSE,540823,6000
2543,皇昌,TSE,482980,0
9941,裕融,TSE,382016,0
2485,兆赫,TSE,549197,0
4958,臻鼎-KY,TSE,733561,-585581
6550,北極星藥業-KY,TSE,469000,0
6770,力積電,TSE,732051,-906000
2538,基泰,TSE,463000,0
1103,嘉泥,TSE,449000,0
5521,工信,TSE,449000,0
1519,華城,TSE,429171,0
4960,誠美材,TSE,432057,0
6213,聯茂,TSE,478628,-27000
4551,智伸科,TSE,419000,3000
4927,泰鼎-KY,TSE,407033,0
6282,康舒,TSE,448596,0
6531,愛普*,TSE,482325,-20929
2511,太子,TSE,373509,0
2464,盟立,TSE,593000,0
6271,同欣電,TSE,1686605,-1285000
1210,大成,TSE,65393,110000
2351,順德,TSE,460840,4000
2478,大毅,TSE,362000,6000
6706,惠特,TSE,350143,0
2850,新產,TSE,365754,0
4764,雙鍵,TSE,-146921,500000
1712,興農,TSE,349001,0
3703,欣陸,TSE,332000,3000
2540,愛山林,TSE,331941,0
2630,亞航,TSE,465228,0
8261,富鼎,TSE,433443,3000
6166,凌華,TSE,335232,0
2537,聯上發,TSE,317998,0
3645,達邁,TSE,364871,0
4915,致伸,TSE,305000,0
4976,佳凌,TSE,311000,0
6589,台康生技,TSE,304003,0
2377,微星,TSE,514157,14000
3049,精金,TSE,315707,0
2505,國揚,TSE,291000,0
3450,聯鈞,TSE,-282996,555000
1526,日馳,TSE,285000,0
2015,豐興,TSE,276404,5000
2031,新光鋼,TSE,266000,0
6405,悅城,TSE,277000,0
2472,立隆電,TSE,281575,0
2302,麗正,TSE,269018,3000
2211,長榮鋼,TSE,409000,0
2915,潤泰全,TSE,254000,0
1477,聚陽,TSE,161711,96000
9958,世紀鋼,TSE,268549,0
2534,宏盛,TSE,253100,0
1476,儒鴻,TSE,246664,5580
2375,凱美,TSE,251354,5000
1709,和益,TSE,250734,0
2727,王品,TSE,248493,0
2258,鴻華先進-創,TSE,220120,0
1809,中釉,TSE,237216,0
2849,安泰銀,TSE,223000,0
2530,華建,TSE,268000,0
1227,佳格,TSE,200000,0
2348,海悅,TSE,220000,0
2486,一詮,TSE,204908,100000
3013,晟銘電,TSE,230015,0
2399,映泰,TSE,217489,0
3056,富華新,TSE,202101,0
1310,台苯,TSE,215000,0
6869,雲豹能源,TSE,206950,0
6164,華興,TSE,216583,0
3532,台勝科,TSE,998910,-752000
6670,復盛應用,TSE,251741,0
2355,敬鵬,TSE,235570,0
2536,宏普,TSE,194000,0
9917,中保科,TSE,188848,3000
3023,信邦,TSE,124637,2000
2597,潤弘,TSE,187134,0
1414,東和,TSE,191000,0
2441,超豐,TSE,191620,0
1795,美時,TSE,184000,0
1217,愛之味,TSE,181000,0
2889,國票金,TSE,130982,2000
6890,來億-KY,TSE,178566,0
3583,辛耘,TSE,173673,12000
2367,燿華,TSE,181703,0
6449,鈺邦,TSE,185230,0
1907,永豐餘,TSE,136280,0
5203,訊連,TSE,127360,0
2608,嘉里大榮,TSE,164980,0
1604,聲寶,TSE,158421,0
1467,南緯,TSE,148146,0
1560,中砂,TSE,-376586,533000
1321,大洋,TSE,160000,0
1720,生達,TSE,158000,0
1727,中華化,TSE,161059,0
1442,名軒,TSE,3350,0
3406,玉晶光,TSE,147489,2000
2461,光群雷,TSE,153878,0
3090,日電貿,TSE,472667,-314000
3032,偉訓,TSE,135350,0
2049,上銀,TSE,90656,0
6205,詮欣,TSE,151059,0
9910,豐泰,TSE,118414,14000
2905,三商,TSE,129944,0
1528,恩德,TSE,139000,0
6768,志強-KY,TSE,139027,0
1232,大統益,TSE,136000,2000
2520,冠德,TSE,64800,0
2419,仲琦,TSE,127090,0
4736,泰博,TSE,131090,1000
